name,gattung,epitheton,familie,familie_quelle,gruppe,ebene,pruefungsrelevant,in_vorlesungsliste,in_skript,in_beschreibungs_pdf,in_tsp_fuehrer,deutsch,heimisch,vorlesungseinheit,skript_seiten,namensbeleg,datenlage,master_namen,vorlesung_name,synonym_skript,ocr_varianten,name_pruefen,verdacht_ocr_fehler
Rhamnus saxatilis,Rhamnus,saxatilis,Rhamnaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,122,nur_ocr,duenn,,,,,ja,nein
Amelanchier arborea,Amelanchier,arborea,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Robin Hill’ Schnee-Felsenbime N 5 /),,,72,nur_ocr,duenn,,,,,ja,nein
Amelanchier canadensis,Amelanchier,canadensis,Rosaceae,skript,Laubgehoelz,pruefung,ja,nein,nein,nein,nein,,,,,quelle_sauber,ohne_quelle,Amelanchier canadensis,,,,nein,nein
Amelanchier lamarchii,Amelanchier,lamarchii,Rosaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Kupfer Felsenbirne,,25,72,quelle_sauber,teilweise,,Amelanchier Lamarchii,,lamarckii,nein,nein
Amelanchier ovalis,Amelanchier,ovalis,Rosaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,nein,nein,Gemeine Felsenbirne,ja,25,72,quelle_sauber,teilweise,Amelanchier ovalis,Amelanchier Ovalis,,,nein,nein
Amelanchier spicata,Amelanchier,spicata,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Besen-Felsenbime NZ,,,72,nur_ocr,duenn,,,,,ja,nein
Aronia melanocarpa,Aronia,melanocarpa,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Kahle Apfelbeere 09);,,,72,nur_ocr,duenn,,,,,ja,nein
Cercocarpus betuloides,Cercocarpus,betuloides,Rosaceae,extern,Laubgehoelz,pruefung,ja,nein,nein,nein,nein,,,,,quelle_sauber,ohne_quelle,Cercocarpus betuloides,,,,nein,nein
Chaenomeles japonica,Chaenomeles,japonica,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Japanische oder Niedrige Zierquitte,,,78,nur_ocr,duenn,,,,,ja,nein
Chaenomeles speciosa,Chaenomeles,speciosa,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Chinesische oder Hohe Zierquitte 3,,,78,nur_ocr,duenn,,,,,ja,nein
Chaenomeles superba,Chaenomeles,superba,Rosaceae,skript,Laubgehoelz,vorlesung,nein,ja,nein,nein,nein,Zierquitte,,26,,quelle_sauber,duenn,,Chaenomeles X superba -Hybrid,,,nein,nein
Cotoneaster acutifolius,Cotoneaster,acutifolius,Rosaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Spitzblättrige Strauchmispel,,27,82,quelle_sauber,teilweise,,Cotoneaster Acutifolius,,,nein,nein
Cotoneaster bullatus,Cotoneaster,bullatus,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Runzelige Felsenmispel a,,,82,nur_ocr,duenn,,,,,ja,nein
Cotoneaster dammeri,Cotoneaster,dammeri,Rosaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Kriechmispel,,27,81,quelle_sauber,teilweise,,Cotoneastr Dammeri,,,nein,nein
Cotoneaster horizontalis,Cotoneaster,horizontalis,Rosaceae,skript,Laubgehoelz,pruefung,ja,nein,ja,nein,ja,Fächer-Felsenmispel,,,81,quelle_sauber,duenn,Cotoneaster horizontalis,,,,nein,nein
Cotoneaster integerrimus,Cotoneaster,integerrimus,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,81,nur_ocr,duenn,,,,,ja,nein
Cotoneaster microphylius,Cotoneaster,microphylius,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,"Immergrüne Zwergmispel, Kleinblättrige",,,81,nur_ocr,duenn,,,,,ja,nein
Cotoneaster multiflorus,Cotoneaster,multiflorus,Rosaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Blüten Felsenmispel,,27,82,quelle_sauber,teilweise,,Cotoneaster Multiflorus,,,nein,nein
Cotoneaster nebrodensis,Cotoneaster,nebrodensis,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,82,nur_ocr,duenn,,,,,ja,nein
Cotoneaster salicifolius,Cotoneaster,salicifolius,Rosaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,nein,Weidenblättrige Felsenmispel,,27,82,quelle_sauber,vollstaendig,Cotoneaster salicifolius,Cotoneaster Salicifolius,,,nein,nein
Cotoneaster tomentosus,Cotoneaster,tomentosus,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,82,nur_ocr,duenn,,,,,ja,nein
Crataegus azarolus,Crataegus,azarolus,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,"Azaroldorn, Azarolapfel ‘ 7",,,80,nur_ocr,duenn,,,,,ja,nein
Crataegus crus-galli,Crataegus,crus-galli,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Hahnendorn,,,79,nur_ocr,duenn,,,,,ja,nein
Crataegus laevigata,Crataegus,laevigata,Rosaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,nein,"Zweigriffeliger Weissdorn,Rotdorn",ja,26,79,quelle_sauber,vollstaendig,Crataegus laevigata,Crataegus Laevigata,,,nein,nein
Crataegus monogyna,Crataegus,monogyna,Rosaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,ja,Eingriffeliger Weissdorn,ja,26,79,quelle_sauber,vollstaendig,Crataegus monogyna,Crataegus Monogyna,,,nein,nein
Crataegus persimilis,Crataegus,persimilis,Rosaceae,skript,Laubgehoelz,vorlesung,nein,ja,nein,nein,nein,Pflaumenblättriger Weissdorn,,27,,quelle_sauber,duenn,,Crataegus x persimilis (Prunifolia),,,nein,nein
Cydonia oblonga,Cydonia,oblonga,Rosaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,ja,Echte Quitte,,26,77,quelle_sauber,vollstaendig,Cydonia oblonga,Cydonia Oblonga,,,nein,nein
Dryas octopetala,Dryas,octopetala,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,85,nur_ocr,duenn,,,,,ja,nein
Exochorda giraldii,Exochorda,giraldii,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Dahurische Radspiere Exochorda Exochor,,,93,nur_ocr,duenn,,,,,ja,nein
Exochorda korolkowi,Exochorda,korolkowi,Rosaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Turkestanische Radspiere,,29,93,quelle_sauber,teilweise,,Exochorda Korolkowi,,,nein,nein
Exochorda racemosa,Exochorda,racemosa,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Chinesische Radspiere >) =>,,,93,nur_ocr,duenn,,,,,ja,nein
Holodiscus discolor,Holodiscus,discolor,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Schaumspiere; Scheinspiere N GG us,,,92,nur_ocr,duenn,,,,,ja,ja
Kerria japonica,Kerria,japonica,Rosaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Ranunkelstrauch,,28,83,quelle_sauber,teilweise,,Kerria Japonica,,,nein,nein
Malus baccata,Malus,baccata,Rosaceae,skript,Laubgehoelz,pruefung,ja,nein,ja,nein,nein,Beerenapfel/Kirschapfel,,,73,quelle_sauber,duenn,Malus baccata,,,,nein,nein
Malus domestica,Malus,domestica,Rosaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Kulturapfel,,25,73,quelle_sauber,teilweise,,Malus Domestica,,,nein,nein
Malus floribunda,Malus,floribunda,Rosaceae,skript,Laubgehoelz,pruefung,ja,nein,ja,nein,nein,Vielblütiger Apfel,,,73,quelle_sauber,duenn,Malus floribunda,,,,nein,nein
Malus sylvestris,Malus,sylvestris,Rosaceae,skript,Laubgehoelz,pruefung,ja,nein,ja,nein,nein,,,,73,quelle_sauber,duenn,Malus sylvestris,,,,nein,nein
Malus tschonoskii,Malus,tschonoskii,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Woll-Apfel ee ry,,,74,nur_ocr,duenn,,,,,ja,nein
Mespilus germanica,Mespilus,germanica,Rosaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,ja,Mispel,,26,77,quelle_sauber,vollstaendig,Mespilus germanica,Mespilus Germanica,,,nein,nein
Photinia fraserie,Photinia,fraserie,Rosaceae,skript,Laubgehoelz,vorlesung,nein,ja,nein,nein,nein,Rotlaubige Glanzmispel,,27,,quelle_sauber,duenn,,Photinia X Fraserie,,,nein,nein
Physocarpus opulifolius,Physocarpus,opulifolius,Rosaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Blasenspiere,,29,91,quelle_sauber,teilweise,,Physocarpus Opulifolius,,,nein,nein
Potentilla fruticosa,Potentilla,fruticosa,Rosaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Gemeiner Fingerstrauch,,28,84,quelle_sauber,teilweise,,Potentilla Fruticosa,,,nein,nein
Potentilla invasiv,Potentilla,invasiv,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,"81,159",nur_ocr,duenn,,,,,ja,ja
Prunus armeniaca,Prunus,armeniaca,Rosaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Marille,,23,69,quelle_sauber,teilweise,,Prunus Armeniaca,,,nein,nein
Prunus avium,Prunus,avium,Rosaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,ja,Vogelkirsche,ja,22,65,quelle_sauber,vollstaendig,Prunus avium,Prunus Avium,,,nein,nein
Prunus cerasifers,Prunus,cerasifers,Rosaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Kirsch Pflaume,,23,67,quelle_sauber,teilweise,,Prunus Cerasifers ssp.Cerasifera,,,nein,nein
Prunus domestica,Prunus,domestica,Rosaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,"Kuturpflaume, Zwetschke",,22,66,quelle_sauber,teilweise,,Prunus Domestica subsp.Domeestica,,,nein,nein
Prunus dulcis,Prunus,dulcis,Rosaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Mandel,,23,69,quelle_sauber,teilweise,,Prunus Dulcis,,,nein,nein
Prunus eminens,Prunus,eminens,Rosaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Kugel Steppen Kirsche,,22,66,quelle_sauber,teilweise,,Prunus X Eminens umbraculifera Prunus Fruticosa Globosa,,,nein,nein
Prunus fruticosa,Prunus,fruticosa,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,68,nur_ocr,duenn,,,,,ja,nein
Prunus laurocerasus,Prunus,laurocerasus,Rosaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,nein,Lorbeer Kirsche,,24,69,quelle_sauber,vollstaendig,Prunus laurocerasus,Prunus Laurocerasus,,cerasus,nein,nein
Prunus lusitanica,Prunus,lusitanica,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Portugisische Lorbeer-Kirsche \,,,69,nur_ocr,duenn,,,,,ja,nein
Prunus mahaleb,Prunus,mahaleb,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,67,quelle_sauber,duenn,,,,,nein,nein
Prunus malaheb,Prunus,malaheb,Rosaceae,skript,Laubgehoelz,vorlesung,nein,ja,nein,nein,nein,Steinweichsel,ja,23,,quelle_sauber,duenn,,Prunus Malaheb,,,nein,nein
Prunus mume,Prunus,mume,Rosaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Japanische Aprikose,,22,66,quelle_sauber,teilweise,,Prunus Mume,,,nein,nein
Prunus padus,Prunus,padus,Rosaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,ja,Traubenkirsche,ja,22,66,quelle_sauber,vollstaendig,Prunus padus,Prunus Padus,,,nein,nein
Prunus persica,Prunus,persica,Rosaceae,skript,Laubgehoelz,pruefung,ja,nein,ja,ja,ja,Pfirsich,,,"68,69",quelle_sauber,teilweise,Prunus persica,,,,nein,nein
Prunus sargentii,Prunus,sargentii,Rosaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,"Japanische Bergkirsche, Scharlachkirsche",,22,65,quelle_sauber,teilweise,,Prunus Sargentii,,,nein,nein
Prunus serotina,Prunus,serotina,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Spätblühende Trauben-Kirsche N,,,66,nur_ocr,duenn,,,,,ja,nein
Prunus serrulata,Prunus,serrulata,Rosaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,ja,Japanische Blüten Kirsche,,23,68,quelle_sauber,vollstaendig,Prunus serrulata,Prunus Serrulata,,,nein,nein
Prunus spinosa,Prunus,spinosa,Rosaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,ja,Schlehdorn,ja,23,67,quelle_sauber,vollstaendig,Prunus spinosa,Prunus Spinosa,,,nein,nein
Prunus subhirtella,Prunus,subhirtella,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Higan-Kirsche,,,68,nur_ocr,duenn,,,,,ja,nein
Prunus tenella,Prunus,tenella,Rosaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Zwerg Mandel,ja,23,68,quelle_sauber,teilweise,,Prunus Tenella,,,nein,nein
Prunus triloba,Prunus,triloba,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Mandelröschen x,,,67,nur_ocr,duenn,,,,,ja,nein
Pyracantha coccinea,Pyracantha,coccinea,Rosaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Mittelmeer Feuerdorn,,27,80,quelle_sauber,teilweise,,Pyracantha Coccinea,,,nein,nein
Pyracantha rogersiana,Pyracantha,rogersiana,Rosaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Gelbfruchtiger Feuerdorn,,27,80,quelle_sauber,teilweise,,Pyracantha Rogersiana,,,nein,nein
Pyrus calleryana,Pyrus,calleryana,Rosaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,ja,Chinesische Birne,,25,74,quelle_sauber,vollstaendig,Pyrus calleryana,Pyrus Calleryana,,,nein,nein
Pyrus communis,Pyrus,communis,Rosaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,ja,Gewöhnliche Birne,,25,74,quelle_sauber,vollstaendig,Pyrus communis,Pyrus Communis,,,nein,nein
Pyrus pyraster,Pyrus,pyraster,Rosaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Holz Birne,ja,25,74,quelle_sauber,teilweise,,Pyrus Pyraster,,,nein,nein
Pyrus salicifolia,Pyrus,salicifolia,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Weidenblättrige Birne Ci,,,77,nur_ocr,duenn,,,,,ja,nein
Pyrus swrobus,Pyrus,swrobus,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,12,nur_ocr,duenn,,,,,ja,nein
Rhodotypos scandens,Rhodotypos,scandens,Rosaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Scheinkerrie,,28,83,quelle_sauber,teilweise,,Rhodotypos Scandens,,,nein,nein
Rosa arvensis,Rosa,arvensis,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,87,nur_ocr,duenn,,,,,ja,nein
Rosa canina,Rosa,canina,Rosaceae,skript,Laubgehoelz,pruefung,ja,nein,ja,nein,nein,,,,86,quelle_sauber,duenn,Rosa canina,,,xanthina,nein,nein
Rosa gallica,Rosa,gallica,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,87,nur_ocr,duenn,,,,,ja,nein
Rosa glauca,Rosa,glauca,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,86,nur_ocr,duenn,,,,,ja,nein
Rosa moyesii,Rosa,moyesii,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,"Zimt- oder Flaschenrose, Mandarin-Rose",,,88,nur_ocr,duenn,,,,,ja,nein
Rosa multiflora,Rosa,multiflora,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Vielblütige Rose us,,,88,nur_ocr,duenn,,,,,ja,nein
Rosa nitida,Rosa,nitida,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Glanzrose,,,87,nur_ocr,duenn,,,,,ja,nein
Rosa pendulina,Rosa,pendulina,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,86,nur_ocr,duenn,,,,,ja,nein
Rosa rubiginosa,Rosa,rubiginosa,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,86,nur_ocr,duenn,,,,rugosa,ja,nein
Rosa sericea,Rosa,sericea,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,88,nur_ocr,duenn,,,,,ja,nein
Rosa spinoisissima,Rosa,spinoisissima,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,87,quelle_sauber,duenn,,,,,nein,nein
Rubus caesius,Rubus,caesius,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,85,nur_ocr,duenn,,,,,ja,nein
Rubus fruticosus,Rubus,fruticosus,Rosaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Wilde Brombeere,ja,28,84,quelle_sauber,teilweise,,Rubus Fruticosus,,,nein,nein
Rubus ideaeus,Rubus,ideaeus,Rosaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Himbeere,ja,28,84,quelle_sauber,teilweise,,Rubus Ideaeus,,,nein,nein
Rubus odoratus,Rubus,odoratus,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Zimt-Himbeere,,,85,nur_ocr,duenn,,,,,ja,nein
Rubus phoenicolasius,Rubus,phoenicolasius,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Japanische Weinbeere,,,85,nur_ocr,duenn,,,,,ja,nein
Sorbaria sorbifolia,Sorbaria,sorbifolia,Rosaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Sibirische Fiederspiere,,29,91,quelle_sauber,teilweise,,Sorbaria Sorbifolia,,,nein,nein
Sorbus aria,Sorbus,aria,Rosaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,ja,Mehlbeere,ja,24,71,quelle_sauber,vollstaendig,Sorbus aria,Sorbus Aria,,,nein,nein
Sorbus aucuparia,Sorbus,aucuparia,Rosaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,ja,"Gemeine Eberesche, Vogelbeere",ja,24,70,quelle_sauber,vollstaendig,Sorbus aucuparia,Sorbus Aucuparia,,,nein,nein
Sorbus chamaemespilus,Sorbus,chamaemespilus,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,71,nur_ocr,duenn,,,,,ja,nein
Sorbus domestica,Sorbus,domestica,Rosaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,ja,Speierling,ja,24,70,quelle_sauber,vollstaendig,Sorbus domestica,Sorbus Domestica,,,nein,nein
Sorbus intermedia,Sorbus,intermedia,Rosaceae,skript,Laubgehoelz,pruefung,ja,nein,ja,nein,nein,Schwedische Mehlbeere,,,71,quelle_sauber,duenn,Sorbus intermedia,,,,nein,nein
Sorbus torminalis,Sorbus,torminalis,Rosaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Elsbeere,ja,24,70,quelle_sauber,teilweise,,Sorbus Torminalis,,,nein,nein
Spiraea cinera,Spiraea,cinera,Rosaceae,skript,Laubgehoelz,vorlesung,nein,ja,nein,nein,nein,Weisse Rispenspiere,,29,,quelle_sauber,duenn,,Spirea x Cinera Grefsheim,,,nein,nein
Spiraea decumbens,Spiraea,decumbens,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,90,nur_ocr,duenn,,,,,ja,ja
Spiraea japonica,Spiraea,japonica,Rosaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,nein,Japanischer Spirstrauch,,29,90,quelle_sauber,vollstaendig,Spiraea japonica,Spirea Japonica,,,nein,nein
Spiraea nipponica,Spiraea,nipponica,Rosaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Nippon Spierstrauch,,29,90,quelle_sauber,teilweise,,Spirea Nipponica,,,nein,nein
Spiraea salicifolia,Spiraea,salicifolia,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Weidenbiattriger Spierstrauch,,,90,nur_ocr,duenn,,,,,ja,nein
Spiraea satcitoba,Spiraea,satcitoba,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,90,nur_ocr,duenn,,,,,ja,nein
Spiraea thunbergii,Spiraea,thunbergii,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Feinlaubige Strauchspiere >,,,89,nur_ocr,duenn,,,,,ja,nein
Spiraea vanhouttei,Spiraea,vanhouttei,Rosaceae,skript,Laubgehoelz,vorlesung,nein,ja,nein,nein,nein,Belgischer Spierstrauch,,29,,quelle_sauber,duenn,,Spirea x Vanhouttei,,,nein,nein
Stephanandra incisa,Stephanandra,incisa,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Kleine Kranzspiere,,,92,nur_ocr,duenn,,,,,ja,nein
Stephanandra tanakae,Stephanandra,tanakae,Rosaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Große Kranzspiere,,,92,nur_ocr,duenn,,,,,ja,ja
Phellodendron amurense,Phellodendron,amurense,Rutaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Amur Korkbaum,,36,111,quelle_sauber,teilweise,,Phellodendron Amurense,,,nein,nein
Poncirus trifoliata,Poncirus,trifoliata,Rutaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Bitterorange,,36,112,quelle_sauber,teilweise,,Poncirus Trifoliata,,,nein,nein
Ptelea trifoliata,Ptelea,trifoliata,Rutaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Hopfenstrauch,,36,112,quelle_sauber,teilweise,,Ptelea Trifoliata,,,nein,nein
Skimmia japonica,Skimmia,japonica,Rutaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Japanische Skimmie,,36,112,quelle_sauber,teilweise,,Skimmia Japonica,,,nein,nein
Tetradium daniellii,Tetradium,daniellii,Rutaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,"Honigesche, Korean.Stinkesche)",,36,111,quelle_sauber,teilweise,,Tetradium Daniellii,,,nein,nein
Populus alba,Populus,alba,Salicaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,ja,Silber Pappel,ja,43,133,quelle_sauber,vollstaendig,Populus alba,Populus Alba,,,nein,nein
Populus balsimifera,Populus,balsimifera,Salicaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Balsam Pappel,,44,134,quelle_sauber,teilweise,,Populus Balsimifera,,,nein,nein
Populus canadensis,Populus,canadensis,Salicaceae,skript,Laubgehoelz,vorlesung,nein,ja,ja,nein,nein,Kanadische Pappel,,43,133,quelle_sauber,teilweise,,Populus x Canadensis,,,nein,nein
Populus nigra,Populus,nigra,Salicaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,ja,Schwarz Pappel,ja,43,"133,134",quelle_sauber,vollstaendig,Populus nigra,Populus Nigra,,,nein,nein
Populus tremula,Populus,tremula,Salicaceae,skript,Laubgehoelz,pruefung,ja,nein,ja,nein,nein,,,,134,quelle_sauber,duenn,Populus tremula,,,,nein,nein
Populus xberolinensis,Populus,xberolinensis,Salicaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,134,nur_ocr,duenn,,,,,ja,nein
Salix alba,Salix,alba,Salicaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,ja,Silber Weide,ja,44,135,quelle_sauber,vollstaendig,Salix alba,Salix Alba,,,nein,nein
Salix aurita,Salix,aurita,Salicaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,137,nur_ocr,duenn,,,,,ja,nein
Salix caprea,Salix,caprea,Salicaceae,skript,Laubgehoelz,pruefung,ja,nein,ja,nein,nein,,,,136,quelle_sauber,duenn,Salix caprea,,,,nein,nein
Salix cinerea,Salix,cinerea,Salicaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,"Asch- oder Grau-Weide NY,",,,136,nur_ocr,duenn,,,,,ja,nein
Salix daphnoides,Salix,daphnoides,Salicaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,136,nur_ocr,duenn,,,,,ja,nein
Salix elaeagnos,Salix,elaeagnos,Salicaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,136,nur_ocr,duenn,,,,,ja,ja
Salix fragilis,Salix,fragilis,Salicaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,nein,"Knack Weide, Bruch Weide",ja,44,135,quelle_sauber,vollstaendig,Salix fragilis,Salix Fragilis,,,nein,nein
Salix herbacea,Salix,herbacea,Salicaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,138,nur_ocr,duenn,,,,,ja,nein
Salix integra,Salix,integra,Salicaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,136,nur_ocr,duenn,,,,,ja,nein
Salix lanata,Salix,lanata,Salicaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,Woll-Weide OSeuS,,,137,nur_ocr,duenn,,,,,ja,nein
Salix matsudana,Salix,matsudana,Salicaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,137,nur_ocr,duenn,,,,,ja,nein
Salix purpurea,Salix,purpurea,Salicaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,135,nur_ocr,duenn,,,,,ja,nein
Salix repens,Salix,repens,Salicaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,137,nur_ocr,duenn,,,,,ja,ja
Salix retusa,Salix,retusa,Salicaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,138,nur_ocr,duenn,,,,,ja,nein
Salix sachalinensis,Salix,sachalinensis,Salicaceae,skript,Laubgehoelz,kontext,nein,nein,ja,nein,nein,,,,137,nur_ocr,duenn,,,,,ja,nein
Salix viminalis,Salix,viminalis,Salicaceae,skript,Laubgehoelz,pruefung,ja,nein,ja,nein,nein,,,,136,quelle_sauber,duenn,Salix viminalis,,,,nein,nein
Acer buergerianum,Acer,buergerianum,Sapindaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,nein,Dreizähniger Ahorn,,33,106,quelle_sauber,vollstaendig,Acer buergerianum,Acer Buergerianum,,,nein,nein
Acer campestre,Acer,campestre,Sapindaceae,skript,Laubgehoelz,pruefung,ja,ja,ja,ja,ja,Feld Ahorn,ja,33,105,quelle_sauber,vollstaendig,Acer campestre,Acer Campestre,,,nein,nein
